,Cleaned_English_Tweets,overall_sentiment
3690,intention rational article ive read topic movie discourse facts related mythological everevolving hindu epics,neutral
3692,realising gross films avg film hope crosses mark,negative
3696,vpc day gross,negative
3698,day tracked collection india till pm eod gross shows hourly live report,negative
3699,today watched love movie ram innocent kriti bgms songs soul film goosebumps time team ravana side messed dressings hairstyle,positive
3707,penny time kriti sanons movie character abducted vfx animals helping id pennies,negative
3709,correction days global bo gross nett india share incl gst note overseas figs usd nizam figures corrected,negative
3710,highest grossing indian movies worldwide days,negative
3712,reportedly scripts ready reportedly intrested cast,positive
3716,fans call modern day nizam tollywood,neutral
3717,bhimavaram th day gross days gross,negative
3718,atleast song,neutral
3719,bhimavaram town th day town gross days total town gross,negative
3722,incredibly touched overwhelming response shown adipurush jai shri ram book tickets cinemas,neutral
3724,actors actor actress lord rama goddess sita lord lakshmana reacted propaganda film shame,negative
3725,rating stars ps,neutral
3726,priya mithunam lyrics telugu english,neutral
3729,hanuman shown,neutral
3733,ww box office week week day day day total totally fake collections producer,negative
3734,vicky scared digital replies hiding pay wall,negative
3735,reading,neutral
3736,priest ranagarjan speaking akeish arun th century mindset sati traditions,neutral
3737,ww box office week week day day day total totally fake collections producer,negative
3739,ww box office week week day day day total totally fake collections producer,negative
3742,adipurush makers bade chutiye wrong box office collection crore seedha crore public ullu banayo saram,negative
3743,adipurush collection worldwide box office days prabhas magnum opus miss crore mark,negative
3744,bhimavaram town days town gross,negative
3745,st hindi,neutral
3746,ww box office week week day day day total totally fake collections producer,negative
3747,case telecast filing case courts,neutral
3749,editing comment,neutral
3750,producers collection format weekend india nett india gross overseas gross worldwide gross real figures india nett india gross overseas worldwide,negative
3753,news saint rampal ji read article real adipurush,neutral
3754,againhes fabricated collections shameless paid critic,negative
3756,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
3757,telugu critics stop rude movies critics encouraged average giving star ratings unanimously collections collected star ratings critics,negative
3758,days worldwide gboc domestic overseas m global cume e r,neutral
3761,sidharth kiara power couple check whopping net worth,neutral
3767,om protection,neutral
3768,completely rejected audiencefilm minted sunday budget nett te ta gross overseas worldwide days,negative
3769,ai nano swarm action weapons sentient ai upcoming,negative
3770,tom dick harry actors india especially south movie proclaim earning game international acclaim global recognition factors achieve,negative
3773,pm show konark housefull anukunta andaru families eh full crowd,neutral
3775,top worldwide grossers hindi version crore crore crore crore crore days crore,neutral
3776,mohini mm theater gajuwaka day gross total days gross,negative
3779,movie hall damaged rss,negative
3780,box office collection collected crore gross worldwide days,negative
3782,crossed lifetime collection rrr germany,neutral
3783,tag flopdisaster box office disaster reviews negativity worldwide trolling moving average tag source,negative
3788,star gold showing ramanand sagar sick watching theatre,negative
3789,antisanataniantihindu showed sita haran wrong wayif ramayana draw correctly ravana touched sita kidnappingsitaharanit written,negative
3790,hc slams censor board makers starrer lines asks teach future generations,negative
3792,saaho flop gross danni ade rating malli meme kottam crossed gross,negative
3793,roots ravanas bag kidnapped sita showed goddess sitas harana wrong wayravana kidnapped fake sita original onepeople makes fool,negative
3796,download mindspace app appstore rath yatra divine chariot journey,positive
3797,shivam song anna,neutral
3798,whosoever stand face huge blacklashkriti sanons career avoided apologyprabhas find difficult regain trust lost om raut manoj leave showbiz damage caused career irreversible,negative
3799,prabhas starrer adipurush heading lower lifetime total jhoothi makkaar big flop,negative
3802,pathetic songs remake breaking record bringing cringe content monthonmonth,negative
3803,actress sexually expliciting role represented monkeyapealmost urduwood insulted characters names changed insulted lord brahma,negative
3804,prime paid huge put prime huge trouble release ott compensate loss bollywood mafia ruined completely matter time collapse fiasco,negative
3807,full video tomorrow book tickets cinemas,neutral
3809,vulgar film insulted tirupati temple kisses age daughtersisterthis propaganda promoted ayodhya,neutral
3811,garu irrespective result providing homage approximately paying taxes providing meal s,neutral
3813,think,neutral
3815,surpasses lifetime gross directorial highestgrossing film career total worldwide gross approximate figures prabhas films crores crores,negative
3818,mb bharath ane nenu pk watch movie ntr rrr rc rrr aa pushpa,neutral
3819,guys trust pathaan varisu bo posters,positive
